Nome do Produto,Categoria do Produto,Preço do Produto (R$),Filial,Quantidade em Estoque,Data da Venda
Blush em pó,Eletrodomésticos,79.41,Filial 7,7,Indisponível
Lápis de sobrancelha,Eletrodomésticos,85.47,Filial 8,78,Indisponível
Base líquida,Roupas,75.02,Filial 8,34,Indisponível
Base líquida,Roupas,44.94,Filial 10,90,Indisponível
Lápis de sobrancelha,Alimentos,58.63,Filial 7,91,Indisponível
Blush em pó,Roupas,50.79,Filial 7,77,Indisponível
Corretivo,Eletrodomésticos,20.46,Filial 4,2,Indisponível
Pó compacto,Roupas,85.56,Filial 9,37,Indisponível
Sombra de olhos,Roupas,31.92,Filial 8,56,Indisponível
Delineador líquido,Alimentos,42.58,Filial 3,8,Indisponível
Corretivo,Eletrodomésticos,92.03,Filial 8,10,Indisponível
Lápis de sobrancelha,Roupas,91.01,Filial 8,95,Indisponível
Delineador líquido,Eletrônicos,40.01,Filial 7,85,Indisponível
Base líquida,Alimentos,37.56,Filial 4,90,Indisponível
Blush em pó,Roupas,9.93,Filial 6,82,Indisponível
Batom matte,Eletrônicos,80.34,Filial 2,42,Indisponível
Pó compacto,Alimentos,67.77,Filial 7,13,Indisponível
Batom matte,Roupas,94.63,Filial 3,20,Indisponível
Corretivo,Roupas,67.85,Filial 1,8,Indisponível
Sombra de olhos,Eletrônicos,54.05,Filial 1,8,Indisponível
Máscara de cílios,Alimentos,93.16,Filial 8,65,Indisponível
Sombra de olhos,Roupas,44.13,Filial 9,66,Indisponível
Sombra de olhos,Roupas,41.87,Filial 6,60,Indisponível
Lápis de sobrancelha,Eletrônicos,49.69,Filial 3,57,Indisponível
Lápis de sobrancelha,Alimentos,3.77,Filial 5,17,Indisponível
Máscara de cílios,Eletrônicos,37.85,Filial 5,36,Indisponível
Pó compacto,Eletrônicos,80.5,Filial 5,99,Indisponível
Base líquida,Eletrônicos,61.89,Filial 9,34,Indisponível
Lápis de sobrancelha,Eletrônicos,79.26,Filial 5,19,Indisponível
Pó compacto,Alimentos,72.19,Filial 4,100,Indisponível
Batom matte,Eletrodomésticos,22.05,Filial 9,56,Indisponível
Blush em pó,Eletrodomésticos,69.91,Filial 7,77,Indisponível
Pó compacto,Eletrônicos,60.83,Filial 10,18,Indisponível
Sombra de olhos,Alimentos,55.75,Filial 5,98,Indisponível
Sombra de olhos,Eletrônicos,22.32,Filial 5,53,Indisponível
Base líquida,Alimentos,60.37,Filial 2,35,Indisponível
Batom matte,Alimentos,15.07,Filial 9,78,Indisponível
Base líquida,Eletrônicos,67.92,Filial 4,63,Indisponível
Pó compacto,Eletrônicos,84.48,Filial 3,83,Indisponível
Corretivo,Eletrônicos,70.08,Filial 1,40,Indisponível
Pó compacto,Roupas,25.96,Filial 9,23,Indisponível
Batom matte,Alimentos,40.67,Filial 1,84,Indisponível
Sombra de olhos,Alimentos,83.64,Filial 4,74,Indisponível
Pó compacto,Eletrodomésticos,26.06,Filial 1,12,Indisponível
Sombra de olhos,Eletrodomésticos,58.83,Filial 4,51,Indisponível
Blush em pó,Alimentos,48.5,Filial 5,57,Indisponível
Pó compacto,Roupas,75.61,Filial 5,87,Indisponível
Máscara de cílios,Eletrônicos,62.89,Filial 6,20,Indisponível
Sombra de olhos,Eletrodomésticos,31.04,Filial 6,68,Indisponível
Máscara de cílios,Eletrodomésticos,34.19,Filial 7,63,Indisponível
Base líquida,Eletrodomésticos,78.59,Filial 9,48,Indisponível
Sombra de olhos,Eletrodomésticos,49.33,Filial 6,98,Indisponível
Lápis de sobrancelha,Eletrônicos,5.84,Filial 2,1,Indisponível
Delineador líquido,Roupas,18.88,Filial 10,25,Indisponível
Lápis de sobrancelha,Eletrônicos,40.34,Filial 8,37,Indisponível
Sombra de olhos,Eletrodomésticos,80.61,Filial 4,45,Indisponível
Lápis de sobrancelha,Eletrônicos,41.92,Filial 8,83,Indisponível
Corretivo,Eletrodomésticos,49.24,Filial 9,42,Indisponível
Base líquida,Roupas,37.93,Filial 4,35,Indisponível
Lápis de sobrancelha,Alimentos,24.28,Filial 3,73,Indisponível
Delineador líquido,Eletrodomésticos,28.68,Filial 2,24,Indisponível
Base líquida,Eletrônicos,90.32,Filial 1,65,Indisponível
Batom líquido,Eletrodomésticos,7.99,Filial 3,6,Indisponível
Base líquida,Eletrodomésticos,41.99,Filial 9,80,Indisponível
Corretivo,Roupas,14.31,Filial 8,95,Indisponível
Lápis de sobrancelha,Alimentos,58.45,Filial 3,19,Indisponível
Delineador líquido,Roupas,20.89,Filial 4,68,Indisponível
Pó compacto,Eletrodomésticos,64.0,Filial 2,28,Indisponível
Pó compacto,Eletrodomésticos,11.42,Filial 3,60,Indisponível
Batom líquido,Eletrodomésticos,72.36,Filial 7,61,Indisponível
Máscara de cílios,Eletrônicos,65.02,Filial 10,13,Indisponível
Pó compacto,Eletrodomésticos,75.26,Filial 2,11,Indisponível
Blush em pó,Eletrodomésticos,26.38,Filial 3,19,Indisponível
